device,predicate
K992636,K822695
K992636,K984194
K992635,K950990
K992635,K982014
K992635,K983541
K992634,K885071
K992632,K871696
K992632,K942632
K992631,K980851
K992631,K921148
K992631,K970049
K992630,K895687
K992623,K921873
K992623,K930892
K992623,K936311
K992622,K981191
K992617,K974016
K992616,K900926
K992616,K844068
K992616,K872224
K992612,K980022
K992612,K972679
K992611,K915889
K992608,K442608
K992607,K912639
K992606,K943955
K992606,K949260
K992601,K962497
K992599,K884872
K992599,K744549
K992595,K990476
K992595,K973437
K992595,K882609
K992594,K945625
K992593,K982235
K992593,K980955
K992593,K974362
K992593,K973695
K992593,K971951
K992593,K972567
K992593,K946126
K992593,K982156
K992593,K973317
K992592,K901584
K992592,K973011
K992589,K952620
K992584,K981394
K992584,K963578
K992583,K853947
K992583,K842762
K992583,K872919
K992581,K943450
K992581,K963123
K992581,K973478
K992581,K980170
K992580,K992560
K992580,K934139
K992578,K880495
K992577,K980526
K992577,K981112
K992577,K953946
K992577,K945383
K992577,K964947
K992576,K880496
K992575,K960043
K992575,K974086
K992573,K926373
K992572,K984018
K992572,K954108
K992572,K953696
K992569,K983008
K992569,K942568
K992569,K992869
K992568,K982235
K992568,K980955
K992568,K974362
K992568,K973695
K992568,K971951
K992568,K972567
K992568,K946126
K992568,K982156
K992568,K973317
K992567,K973849
K992566,K492566
K992566,K945620
K992565,K492564
K992564,K945542
K992563,K926379
K992563,K492563
K992562,K982235
K992562,K980955
K992562,K974362
K992562,K973695
K992562,K971951
K992562,K972567
K992562,K946126
K992562,K982156
K992562,K973317
K992560,K999500
K992559,K932252
K992556,K442556
K992555,K942042
K992555,K964964
K992555,K#942042
K992555,K#964964
K992554,K960746
K992554,K974151
K992554,K#974151
K992554,K#960746
K992553,K811365
K992551,K980558
K992551,K896422
K992551,K983454
K992551,K922382
K992551,K990101
K992551,K982256
K992550,K945651
K992547,K540620
K992547,K981556
K992546,K982235
K992546,K980955
K992546,K974362
K992546,K973695
K992546,K971951
K992546,K972567
K992546,K946126
K992546,K982156
K992546,K973317
K992545,K981822
K992544,K980972
K992538,K964739
K992537,K971048
K992537,K983162
K992537,K992697
K992533,K980645
K992531,K760198
K992531,K830749
K992530,K962517
K992526,K921707
K992526,K951196
K992526,K980401
K992525,K961260
K992525,K942340
K992525,K962224
K992522,K992527
K992518,K982394
K992516,K982395
K992516,K982564
K992511,K962633
K992510,K964121
K992507,K982235
K992507,K980955
K992507,K974362
K992507,K973695
K992507,K971951
K992507,K972567
K992507,K946126
K992507,K982156
K992507,K973317
K992505,K914945
K992505,K903603
K992505,K946277
K992504,K953026
K992504,K896749
K992504,K920328
K992503,K802226
K992487,K921873
K992487,K992467
K992487,K930892
K992487,K936311
K992482,K963249
K992478,K952882
K992478,K790130
K992477,K950496
K992475,K912844
K992475,K903144
K992472,K960475
K992472,K943543
K992471,K965017
K992470,K981510
K992470,K974269
K992470,K990970
K992467,K946334
K992467,K932760
K992467,K412469
K992466,K792466
K992465,K974739
K992465,K861377
K992464,K960746
K992464,K974151
K992464,K#974151
K992464,K#960746
K992463,K942042
K992463,K964964
K992463,K#942042
K992463,K#964964
K992462,K894708
K992462,K914406
K992461,K972398
K992461,K974187
K992461,K954276
K992460,K990728
K992458,K971922
K992458,K970089
K992455,K973918
K992455,K964305
K992452,K971960
K992451,K990107
K992450,K980914
K992448,K945062
K992446,K963487
K992446,K943487
K992446,K984273
K992445,K781682
K992428,K974065
K992426,K983447
K992424,K980090
K992424,K823553
K992423,K924124
K992423,K926551
K992423,K955278
K992420,K982235
K992420,K980955
K992420,K974362
K992420,K973695
K992420,K971951
K992420,K972567
K992420,K946126
K992420,K982156
K992420,K973317
K992419,K499419
K992416,K970321
K992416,K852682
K992414,K872369
K992412,K964626
K992410,K983533
K992408,K965007
K992406,K963783
K992406,K974022
K992405,K895252
K992405,K980988
K992405,K983108
K992405,K932591
K992404,K983105
K992404,K992004
K992404,K961648
K992404,K962614
K992403,K955296
K992403,K961939
K992396,K980841
K992396,K984320
K992395,K972375
K992392,K943532
K992392,K881133
K992392,K933455
K992386,K999035
K992382,K933157
K992382,K980177
K992379,K922941
K992377,K971922
K992377,K970089
K992370,K903066
K992366,K964310
K992366,K970894
